batch_size,badger,leaves,leveldb,lmdb,redis,rocksdb,sqlite,wiredtiger
1,21777.1,856156.0,240947.5,601852.5,43843.850000000006,149569.5,108914.0,87625.75
8,55622.8,1049320.0,262315.0,635657.0,94276.8,172850.5,197483.0,85776.85
32,57138.3,1088365.0,257429.0,641154.0,110449.0,179215.0,218616.5,88082.95000000001
64,41807.65,1078825.0,268426.5,639765.5,113733.0,176215.0,220814.0,95338.9
