batch_size,badger,leaves,leveldb,lmdb,redis,rocksdb,sqlite,wiredtiger
1,30320.8,652103.0,344169.0,395483.0,39230.4,204408.0,87304.5,61494.2
8,70585.4,791149.0,410734.0,423584.0,77426.1,259998.0,157418.0,60181.2
32,132682.0,809464.0,422211.0,416289.0,86037.2,258836.0,170060.0,59217.1
64,90134.7,807846.0,413444.0,413224.0,86436.6,265556.0,163952.0,61670.9
