,badger,leaves,leveldb,lmdb,redis,rocksdb,sqlite,wiredtiger
100B,16815.4,685382.0,85448.5,552534.0,38438.4,65344.9,299003.0,22494.0
1024B,18704.3,783359.0,79921.0,547904.0,39793.3,71665.2,299324.0,20524.8
4096B,18220.6,688432.0,77520.2,558132.0,39789.4,66844.9,299252.0,20996.4
