workload_label,badger,leaves,leveldb,lmdb,redis,rocksdb,sqlite,wiredtiger
Analytics Read,176734.0,2031095.0,571787.5,929380.5,38020.3,362670.5,154385.0,204652.5
Cache,125223.5,1902215.0,444328.0,942267.5,37834.95,332166.5,159045.0,194076.5
Ingest,47464.75,698659.5,299827.5,395069.0,44773.5,195189.0,93981.9,63008.55
Latest,167109.0,1745825.0,632776.0,940119.5,41149.45,475148.5,168543.0,234241.0
RMW,44104.05,985735.5,282501.0,645856.0,31184.35,194754.5,84407.0,117180.0
Range 10,24928.5,753185.0,360244.0,639335.0,42868.600000000006,198695.0,79862.85,68644.65
Range 100,7131.305,110989.5,94181.5,120646.5,41924.55,38729.25,13210.3,45866.7
Session,32089.45,681301.0,155372.0,548179.5,47262.15,94179.35,73105.35,31624.0
