workload_label,leaves,leveldb,lmdb,rocksdb,sqlite,wiredtiger
ACID A/C/I,844832.0,2031.24,2211.89,2023.74,4329.15,3249.8
ACID Txn,685212.0,0.0,1268.86,0.0,3072.87,2416.63
