workload_label,badger,leaves,rocksdb,sqlite,wiredtiger
Concurrent Session (8T),107538.0,1672220.0,718217.0,161507.0,243304.0
Concurrent Write (8T),81704.1,1160870.0,433428.0,101089.0,79989.5
